Video ID,Title,Descrption,Published At
RiiM0kMfxQo,Boolean types in Rust,,2024-06-23T14:47:54Z
f91IcISoOok,float types in Rust - #rustlang #software #programmingtutorial,,2024-06-21T15:51:00Z
fRbHDwFvmxA,Understanding Time and Space Complexity in Algorithms | Big-O Notation Explained - DSA Course,Welcome to this video on Time and Space Complexity! Whether you're new to programming or looking to improve your ...,2024-06-20T13:17:10Z
nMX9_8qOKPY,Getting Started with Cloud - with @KunalKushwaha  from @CivoCloud,"Join us for ""Getting Started with Cloud,"" a live event designed to help you understand the basics and benefits of cloud computing.",2024-06-20T04:07:44Z
ZKy6uz4zAOY,Integers data types in Rust #rustlang,,2024-06-17T15:33:10Z
4uqVCm84X1U,Live from Render ATL with Ellie,ALL THE LINKS HERE: https://francescociulla.com.,2024-06-16T02:02:48Z
N0jpQCLfj84,Data Types in Rust language  #rustlang,https://youtu.be/NyqJp5M3hRE?si=j_Ld6FykYgN_H8lu.,2024-06-14T13:14:52Z
tf_zVO6MHS0,💡🚫 How to remove that  yellow bulb on VS Code,,2024-06-10T18:27:26Z
giF11FuRyC0,🚨🚨🚨LIVE - Error Handling in rust🚨🚨🚨,LIVE - Error Handling in rust       Find Francesco: https://francescociulla.com.,2024-06-09T02:46:46Z
_BeJCUdapk0,Constant in Rust - main differences - Rust programming language tips #rustlang #rustprogramming,,2024-06-07T14:38:04Z
fGzFMYhcsc0,"Big Announcement: I&#39;ll be in Bangalore, India, for DevStudioCon 2024 @Wix ! #programming #software",,2024-06-06T06:27:43Z
1jwxVQQplN4,why do we need CONST in Rust if the variables with let are already Immutable? #rustlang,,2024-06-02T14:22:36Z
tf_zVO6MHS0,💡🚫 How to remove that  yellow bulb on VS Code,,2024-06-10T18:27:26Z
giF11FuRyC0,🚨🚨🚨LIVE - Error Handling in rust🚨🚨🚨,LIVE - Error Handling in rust       Find Francesco: https://francescociulla.com.,2024-06-09T02:46:46Z
_BeJCUdapk0,Constant in Rust - main differences - Rust programming language tips #rustlang #rustprogramming,,2024-06-07T14:38:04Z
fGzFMYhcsc0,"Big Announcement: I&#39;ll be in Bangalore, India, for DevStudioCon 2024 @Wix ! #programming #software",,2024-06-06T06:27:43Z
1jwxVQQplN4,why do we need CONST in Rust if the variables with let are already Immutable? #rustlang,,2024-06-02T14:22:36Z
Pgv83SFaLtU,Hashmaps in Rust - Rust tutorial live,Hashmaps in Rust Find Francesco: https://francescociulla.com.,2024-06-02T02:49:51Z
Ee0XuNzQjsI,Mutability in Rust: a fundamental concept #programming #rustlang #software,,2024-05-31T14:03:15Z
cNSC93tTYO4,Declaring variables in Rust #programming #software #rustlang #programmers,,2024-05-26T14:44:05Z
d1V765IFnoM,Shadowing in Rust #rustlang #programming #software,,2024-05-24T14:40:40Z
WfqNI9-EIZk,Life from Hotel (Poland),ALL THE LINKS HERE: https://francescociulla.com.,2024-05-23T03:10:34Z
f4a8rWkSl8U,"Master Rust Collections: Vectors, Enums, and Iteration - Full Crash Rust Tutorial for Beginners","In this lesson, we dive deep into the world of Rust collections, focusing on Vectors. We'll start by explaining what a Vector is and ...",2024-05-21T13:00:43Z
VqXjX5qAisU,🔥🔥 200k celebration,Find Francesco: https://francescociulla.com.,2024-05-19T14:05:50Z
F97SDfeBzJM,Tech Conferences - with Justin E Samuels,"Hear about the biggest tech conference coming up this June, @RenderATL Let's talk about tech conferences: why they are ...",2024-05-18T04:45:56Z
jHuMHkquLDY,Variables and Mutability in Rust  #programming #rustlang #software,ALL THE LINKS HERE: https://francescociulla.com.,2024-05-16T15:34:38Z
3b3vpxCL9c4,"Developers, Rust and AI",ALL THE LINKS HERE: https://francescociulla.com.,2024-05-16T05:53:12Z
_5yrda0bE4A,Will Rust blow up? with @ezLiveOfficial,Will Rust blow up? Let's discuss with Ezsnippet @ezLiveOfficial @ezsnippat Episode 227 Neeraj Walia ...,2024-05-15T16:40:32Z
-WWHgod2Ac8,Master the &quot;use&quot; Keyword in Rust - Full Crash Rust Tutorial for Beginners,Full playlist: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs&index=1 Are you ...,2024-05-14T13:00:51Z
EGXn9nnHMyE,The &quot;use&quot; keyword in Rust - Rust tutorial live,This lesson will be about one bringing Paths into Scope with the use Keyword Find Francesco: https://francescociulla.com.,2024-05-12T02:42:55Z
qrvSRBA8uq4,Rust executable files #rustlang #software #programming,ALL THE LINKS HERE: https://francescociulla.com.,2024-05-10T13:27:30Z
5O8S0j5KcK4,What is this YouTube Channel about??,"Hi, I am Francesco, a passionate Italian Developer. In this channel, you will find: - a complete playlist to learn Rust, from the basics ...",2024-05-06T13:23:47Z
GnxpHj8U5Pg,Paths in Rust - Rust tutorial live,This lesson will be about paths for Referring to an Item in the Module Tree https://github.com/FrancescoXX/rust-paths Find ...,2024-05-04T15:27:51Z
NSCXVD_niGw,What is this YouTube Channel about??,"Hi, I am Francesco, a passionate Italian Developer. In this channel, you will find: - a complete playlist to learn Rust, from the basics ...",2024-05-03T13:54:24Z
ZntnnMNNHF0,Switching career to tech - How my life changed in the past 10 years (2014-2024),"In this video, I share a quick version of the last 10 years of my life (2014-2024) If you enjoyed this video, considerate donating ...",2024-04-28T14:39:43Z
UtDMzjwSLbI,Defining Modules in Rust - Rust tutorial live,This lesson will be about defining Modules to Control Scope and Privacy Find Francesco: https://francescociulla.com.,2024-04-28T03:22:52Z
IcrDm1EKy5w,how to create a sinple function that waits 3s in Rust. Don&#39;t forget to recompile!,,2024-04-26T15:21:42Z
g7eWEjLAL5g,DevOps or Platform Engineer? with Marino Wijay,DevOps or Platform Engineer? with Marino Wijay Episode 224 Marino https://twitter.com/virtualized6ix https://ca.kubehuddle.com/ ...,2024-04-26T04:05:21Z
5LdnfzFdWhE,"Understanding Rust Structure: Packages, Crates, Modules - Full Crash Rust Tutorial for Beginners",Full playlist: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs&index=1 In this ...,2024-04-23T12:57:57Z
7MKj6r-96JY,Hello world in Rust,,2024-04-21T13:09:15Z
IbrlEA8c1cA,Packages and Crates in Rust - Rust Live tutorial,"As you write large programs, organizing your code will become increasingly important. By grouping related functionality and ...",2024-04-21T04:57:08Z
9NGZw-2-y5Y,Rust killer features #rustlang #programming,,2024-04-18T14:17:57Z
nwvX5BDZrCY,Connecting Developers - Tracy Lee,"Talking with Francesco, Episode In this live event, we will talk about why it is so important for tech companies to connect with ...",2024-04-18T06:05:38Z
paZ9J8Fq-q4,Concise Control Flow with if let - Rust live tutorial,Concise Control Flow with if let - Rust live tutorial All the links: https://francescociulla.com.,2024-04-14T02:15:43Z
ZEh94HA7mnc,Rust is not beginner friendly! #programming,,2024-04-11T13:45:15Z
HXU6M6bfPHE,Career Growth - with Tessa Mero @Appwrite,"In this episode, we will talk about tips to level up your career, especially in tech. Episode 222 Tessa Mero, Head of DevRel at ...",2024-04-11T04:26:40Z
sd1M_CLXl4I,Mastering Rust&#39;s Match Control Flow - Full Crash Rust Tutorial for Beginners,"Discover Rust's powerful control flow construct, ""Match."" Learn how to compare values against various patterns and execute code ...",2024-04-09T14:30:24Z
_khO4rFBO-s,Time Management for developers - @saumya1singh,"In this episode, we will talk about Time Management and content creation for developers. We also talk about the risks of AI in 2024 ...",2024-04-06T13:00:07Z
swecENYqgAw,The Match Construct in Rust,ALL THE LINKS HERE: https://francescociulla.com.,2024-04-04T15:00:55Z
XQWX7dMqY3U,Enums in Rust - Rust full tutorial,Enums in Rust Enums allow you to define a type by enumerating its possible variants. We'll define and use an enum to show how ...,2024-04-02T13:00:27Z
g51fuN1gXbg,Developer Relations - Amanda Martin @WixStudio,"Join us for an insightful podcast interview with Amanda Martin, as she shares her journey into the tech industry and her passion ...",2024-03-27T16:00:06Z
94iSHoKmPmY,Methods for Structs -  Full Crash Rust Tutorial for Beginners,Welcome to the Full Crash Rust Tutorial for Beginners Methods are similar to functions: we declare them with the fn keyword and a ...,2024-03-26T11:00:06Z
7knPQ2wcRCA,Match construct in Rust - Rust tutorial live,This lesson will be about one of my fav constructs in Rust: the Match construct Find Francesco: https://francescociulla.com.,2024-03-24T03:18:49Z
OjOLHtrGBjM,Enums - Rust live tutorial,"In this lesson, we will talk about ""Enums"" in Rust Enums in rust are a way to define a type by enumerating its possible values.",2024-03-23T05:43:36Z
XiECSAO_-t0,Why Rust?  #rustlang #programming #software #webdevelopment,,2024-03-21T15:04:11Z
p56g683G_po,Level up your tech career - With Taylor Desseyn,Right now the the job market is upside down and trying to find a job let alone level up your career is daunting. We will dive into ...,2024-03-21T05:05:07Z
mgK5LezkHl8,An example of Struct in Rust -  Full Crash Rust Tutorial for Beginners,"Welcome to the Rust Full Crash Rust Tutorial for Beginners To understand when we might want to use structs, let's write a ...",2024-03-19T14:34:47Z
b2sbD6kAy08,Try Daytona @daytonaio,,2024-03-17T13:50:56Z
VnSSNWSWxWA,Methods - Rust Live Tutorial,"In this lesson, we will talk about Methods for Structs in Rust https://github.com/FrancescoXX/rust-structs-methods Find Francesco: ...",2024-03-17T03:25:56Z
qUrmFpVM4wo,"What is Devin, the first AI software engineer? Are you Scared?","What is Devin AI? Devin AI is the first real AI software engineer, software that can actually code using real software development ...",2024-03-16T10:59:02Z
6FbMvS0-DSQ,Struct Example - Rust tutorial,"In this lesson, we will make an example of a program using ""Structs"" in Rust Music provided by TheRelaxedMovement. Check it ...",2024-03-16T05:29:20Z
xdSlv-Kkow8,We are Developers - Daniel Cranney,"Let's talk about Developer relations, challenges and much more Episode #220 Daniel Cranney https://twitter.com/danielcranney ...",2024-03-14T05:09:59Z
C5NyLGHc2gY,Fun and Education for Developers - @tech_wizzdom,Fun and Education for Developers - @tech_wizzdom Dom https://www.techwizzdom.com/ ...,2024-03-01T05:30:54Z
JU-BSAJ9XeI,🎉80k celebration,ALL THE LINKS HERE: https://francescociulla.com.,2024-02-27T05:24:32Z
7QlqoMU62Z8,JavaScript: 5 key features #javascript,,2024-02-25T11:04:16Z
DiwD_9B-k5w,References and Borrowing - Rust Tutorial,Let's discuss References and Borrowing in Rust. Ownership in Rust: https://youtu.be/9VBLOwmNE1g This is a fundamental part of ...,2024-02-25T03:53:32Z
9VBLOwmNE1g,Ownership in Rust -  Full Crash Rust Tutorial for Beginners,"Welcome to the Full Crash Rust Tutorial for Beginners In this lesson, we will cover the following topics: - What is ownership?",2024-02-20T14:01:01Z
cM7lYP9c834,Different types of Data Structures #dsa #programming #development,,2024-02-18T14:10:04Z
i3XUjukM2WM,Ownership in Rust -  Rust Tutorial,"Let's discuss Ownership in Rust, a very important concept find Francesco: https://francescociulla.com.",2024-02-18T03:45:21Z
b_-yAg7IwLc,JavaScript vs Python. Key differences #programming #javascript #python,,2024-02-14T15:00:03Z
GKGUvr3Swg0,5 Rust web frameworks,,2024-02-10T16:52:05Z
CKT3qAOmImo,🔴RAID by @ezsnippat @ezLiveOfficial  #programming #software #dsa #programming #rust,find Francesco: https://francescociulla.com.,2024-02-08T16:00:08Z
2w_FTiD74JI,"Control flow in Rust: If, Match, loop, while, for -  Full Crash Rust Tutorial for Beginners","Welcome to the Full Crash Rust Tutorial for Beginners In this lesson, we'll cover the basic control flow in Rust. We'll cover the ...",2024-02-06T14:00:03Z
K6W1V8UMyek,🦀 Ownership in Rust #rustlang #software,,2024-02-04T14:00:19Z
Bdxuzh6JCEM,Rust Data Structures: Collections #programming #software #coding #rustlang,,2024-02-01T12:58:19Z
JrlWKYpTMI4,DevRel and Conferences - Michelle &quot;MishManners&quot; Duke,"Episode 214 DevRel and Conferences - Michelle ""MishManners"" Duke Michelle ""MishManners"" Duke ...",2024-02-01T07:03:26Z
abb3Krx63bs,How does Rust 🦀 handle memory? #rustlang #software #programming,,2024-01-21T14:00:00Z
5lmPfbSa7cQ,Docker Compose Up - Quick Tutorial,"A simple and effective explanation of the ""docker compose up"" command Github link: ...",2024-01-18T14:04:06Z
bR_kR4mYoHk,Web Development Roadmap in 2024 - Dave Gray,Web Development Roadmap in 2024 - Dave Gray Dave Gray @DaveGrayTeachesCode https://twitter.com/yesdavidgray ALL the ...,2024-01-18T05:05:30Z
m8bwka98h64,5 free resources to learn Rust 🦀 #rustlang #rust #programming #software,5 free resources to learn Rust.,2024-01-14T14:00:28Z
B-fqnWZyxno,Docker push and Docker pull commands - hort Docker tutorial,Docker push and Docker pull commands in short 0:00 Introduction to the docker inspect command 0:16 Inspecting containers and ...,2024-01-11T14:00:10Z
tZGDeVMLFcE,Developers in 2024 - Kacie Ahmed,"In this episode, we'll talk about what it will mean to be a developer in 2024, LearnWeb3DAO, and the future of development., and ...",2024-01-10T18:38:00Z
9F_Np8g1W8g,What is Rust and why is it so on hype for 2024? 🦀#rustlang #programming #software #webdevelopment,,2024-01-07T14:00:06Z
QNlQYwcr_VU,@ezLiveOfficial @ezsnippat respect for all the hard workers #programming,,2024-01-04T18:19:35Z
cjdsLhGrvCA,Docker stats - Docker short tutorial,"The docker stats command returns a live data stream for running containers. To limit data to one or more specific containers, ...",2024-01-04T14:00:26Z
njNXTM6L0wc,"Next.js 14, Python, Docker:  Build a fullstack rest API in TypeScript and Python, using Flask","By the end of this, you will understand and create a simple yet complete full stack app using the following: - Next.js 14 (TypeScript) ...",2024-01-02T13:59:09Z
AkAAjxSLAzk,What are Docker volumes? 💿 #docker #software #devops #programming,,2023-12-31T14:00:06Z
1afIORRyp58,"Python Full Stack App: Next.js 14, Flask, PostgreSQL, Docker","Let's create a very minimalistic Full Stack App, with these technologies: - nextjs 14 - Flask - SQLAlchemy - PostgreSQL - Docker ...",2023-12-30T16:40:12Z
8794qqzbEBg,docker inspect command - docker basic commands tutorial,Docker inspect command in short 0:00 Introduction to the docker inspect command 0:16 Inspecting containers and images 0:58 ...,2023-12-28T14:11:43Z
FkSnrYVD_Bw,Developers and youTube - Hitesh Choudhary,Episode 209 Developers and YouTube - Hitesh Choudhary @HiteshCodeLab Find Francesco: https://francescociulla.com.,2023-12-28T05:12:38Z
429-r55KFmM,"nextjs 14, Go, Docker: Build a fullstack rest API in TypeScript and Go","By the end of this video, you will understand and create a simple yet complete full stack app using the following: - Next.js 14 ...",2023-12-26T16:00:04Z
UvgSurEkCO8,Docker networks: Connecting docker containers #docker #network #devops #software,"Docker networks are essentially the highways connecting Docker containers, allowing them to communicate with each other.",2023-12-24T14:22:30Z
XDHDTGoZ_68,"Full Stack App: Next.js 14, Go, Postgres, Docker","Let's create a very minimalistic Full Stack App, with these technologies: - Next.js 14 - Go - Docker - Docker Compose We will focus ...",2023-12-23T16:45:59Z
-l-9B92q0R8,Developers &amp; AI - Logan Kilpatrick,Episode 208 Logan Kilpatrick - https://twitter.com/OfficialLoganK @OpenAI https://discord.com/invite/4c-784142072763383858 ...,2023-12-22T05:03:36Z
77RjzJtC_g4,"Next.js 14, Rust, Docker: Build a fullstack rest API in typeScript and Rust","By the end of this video, you will understand and create a simple yet complete full stack app using the following: - Next.js 14 ...",2023-12-19T15:15:59Z
M_l4EkN0pIM,Docker extensions?  #python #docker #livestreams,What are Docker Extensions and how can you use them? find Francesco: https://francescociulla.com.,2023-12-17T15:00:26Z
kPxZXPRMJNw,"Full Stack App: Next.js 14, Rust, Postgres, Docker","Let's create a very minimalistic Full Stack App, with these technologies: - Next.js 14 - Rust (with Serde, no framework) - Docker ...",2023-12-16T16:27:20Z
x3_wsqrqkQQ,Guide to Open Source and Next.js - with Tobiloba,"Episode 207 In this Episode, we will discuss with Tobiloba about Open Source, DevRel, and Next.js Tobiloba ...",2023-12-14T05:26:43Z
N-7uYm1PszM,"Next.js, JavaScript, Docker: Build a fullstack REST API using Node.js, Express, Prisma, PostgreSQL","By the end of this video, you will understand and create a simple yet complete full stack app using the following: Next.js 14 ...",2023-12-12T13:56:35Z
rvAzRj4jLVs,What is Docker Hub 🐳 #docker #software #programming #webdevelopment #developer #technology #coding,,2023-12-10T13:59:58Z
0PVK57WxqDI,How to make content for Developers @CodingWithLewis,Episode 206 Lewis Menelaws https://lewismenelaws.com/,2023-12-08T05:16:08Z
alt_C0qmHCA,docker build (docker image build) - Doker short tutorial,"docker build is the command to build docker images, starting from a Dockerfile. find Francesco: https://francescociulla.com.",2023-12-06T13:51:15Z
ZjaWumGer_A,What is a Dockerfile? - Docker shorts  #docker #devops #software #programming #webdevelopment,find Francesco: https://francescociulla.com.,2023-12-03T12:00:27Z
9ZorqVsXhT4,Dockerfile tutorial,Dockerfile tutorial find Francesco: https://francescociulla.com.,2023-12-03T03:26:19Z
BzOQNyiwyAw,Developer Relations RoundTable,Developer Relations Roundtable What is Devrel https://youtu.be/K9ADWSTqdRw Lead Dani https://twitter.com/danizeres Deni ...,2023-12-02T05:34:06Z
Fs6aMvew5ZQ,docker container run - Docker short tutorial,"In this short video make a super short explanation of what is the command ""docker run"", adding some common options. Docker ...",2023-11-30T14:24:03Z
Rys20hH0u9Q,How to learn JavaScript - Wes Bos,Episode 205 How to learn JavaScript - Wes Bos @WesBos.,2023-11-30T05:08:39Z
ohfDscOUuGc,🐳 What is a Docker Container? #docker,,2023-11-26T15:37:15Z
5WNFBRjdhuI,Using Next.js with Docker. Does it make sense???,Join this channel to get access to perks: https://www.youtube.com/channel/UCBRxDSTfr2aJVODDh4WG_7g/join GitHub repo: ...,2023-11-25T16:10:52Z
TpNjxR1uc8k,What is Docker compose? 🐳 #devops #software #developer #programming,,2023-11-19T14:15:30Z
rRct4kVi6aE,🅰️ Angular 17 - let&#39;s try it,Find Francesco: https://francescociulla.com.,2023-11-19T04:07:51Z
S6DLU0y5DVs,Developer Relations and Conferences - Edidiong Asikpo,Talking with... episode #203 first episode https://www.youtube.com/watch?v=4df1eirXcII&t=11s Edidiong Asikpo ...,2023-11-16T05:00:41Z
BzOQNyiwyAw,Developer Relations RoundTable,Developer Relations Roundtable What is Devrel https://youtu.be/K9ADWSTqdRw Lead Dani https://twitter.com/danizeres Deni ...,2023-12-02T05:34:06Z
Rys20hH0u9Q,How to learn JavaScript - Wes Bos,Episode 205 How to learn JavaScript - Wes Bos @WesBos.,2023-11-30T05:08:39Z
ohfDscOUuGc,🐳 What is a Docker Container? #docker,,2023-11-26T15:37:15Z
bpOY-SwpnfY,How to prepare and perform a presentation,"Do you want to improve as a public speaker? In this 20-minute video, I compress all the knowledge I got from about 15 ...",2023-11-23T14:50:02Z
YdDhCodm3Q8,"🚨BREAKING: Sam Altman, Open AI, Microsoft @CSDojo","BREAKING: Sam Altman, Open AI, Microsoft with @CSDojo.",2023-11-21T04:43:07Z
rRct4kVi6aE,🅰️ Angular 17 - let&#39;s try it,Find Francesco: https://francescociulla.com.,2023-11-19T04:07:51Z
S6DLU0y5DVs,Developer Relations and Conferences - Edidiong Asikpo,Talking with... episode #203 first episode https://www.youtube.com/watch?v=4df1eirXcII&t=11s Edidiong Asikpo ...,2023-11-16T05:00:41Z
2RFw3_V4eU8,What is Docker? What is a Docker Container and a Docker Image? #opensource #docker #software #devops,What is Docker? What is a Docker Container and a Docker Image? find Francesco: https://francescociulla.com.,2023-11-12T16:38:24Z
k_ysziP67yY,Developers and live streams!,Episode #202 Melkey https://twitter.com/MelkeyDev @MelkeyDev https://www.twitch.tv/melkey ...,2023-11-11T05:09:10Z
dfkI4ZB39ZE,Twitch or YouTube as a Developer Content Creator?,"In this video, I share 5 reasons that made me decide to live stream on YouTube rather than Twitch, at least until I will hit 100k ...",2023-11-07T13:59:50Z
_BDrONvvyGg,What is REST API? #restapi #software #webdevelopment #opensource,"REST API, or Representational State Transfer, is a type of web service that adheres to the principles of the REST architectural ...",2023-11-05T14:38:42Z
ilt7u7mLrlY,"Cast AI - Automate Kubernetes cost, performance, and security management",Connect a cluster and WIN A LEGO! https://cast.ai/francesco documentation ...,2023-10-21T03:02:21Z
1vxWpRIYehQ,Hacktoberfest 2023 - how to get started with open source,https://github.com/FrancescoXX --- ▶️NoCopyrightSounds / NCS: Music Without Limitations Spotify Playlist → http://spoti.fi/NCS ...,2023-10-14T04:49:19Z
jeP5Cnqk35U,Build an Open Source project for Content Creation - Content Box,Find Francesco: https://francescociulla.com.,2023-08-23T05:09:37Z
BxYJnON2r4o,Build an open source project for content creation #1,"In this series, I want to create an open-source project you can use as a content creator. Github repository: ...",2023-08-05T05:00:54Z
lrwGfagJ-8M,DevRels and Social Media - DevRel Roundtable,DevRel Roundtable Amanda Martina https://twitter.com/hey_amandam Sabrina Aquino https://twitter.com/sabrinaesaquino ...,2023-07-22T05:17:44Z
zbHhYx5Lyms,Interview with @KunalKushwaha,Find Kunal @KunalKushwaha Kunal: https://twitter.com/kunalstwt Civo: @CodeEurope @CivoCloud find Francesco: ...,2023-07-12T15:54:05Z
i9m6Kdh1HRc,How to submit an effective CFP,Civo Navigate @CivoCloud https://www.civo.com/navigate Find Kunal: https://bio.link/kunalk @KunalKushwaha find Francesco: ...,2023-07-07T13:35:32Z
Gf9RkaHnsR8,"Typescript CRUD API: Next.js, TypeScript, Tailwind, tRPC, Prisma Postgres, Docker","By the end of this video, you will understand how to build a FULL CRUD API app, including a simple frontend to use it, using the ...",2023-07-04T12:57:31Z
La0o7u-ufec,How does @KunalKushwaha manages everything he does? recorded at @CodeEurope,,2023-06-16T13:48:33Z
My8c7UfLUTE,Time management and CFP submissions with @KunalKushwaha,"In this first in-person episode of the ""Talking with Francesco"" series, I talked with Kunal about: - How to manage multiple activites ...",2023-06-13T13:24:08Z
1eeR0LoIs-M,How to test APIs with Docker Container using Postman,find Francesco: https://francescociulla.com Previous video: https://youtube.com/live/Uv-jMWV29rU GitHub repository: ...,2023-06-08T14:33:20Z
hTt67PEpo88,"Web3, Crypto, and Decentralized Social Media (Lens Protocol, Bluesky, AT Protocol)","This is a presentation I gave in person last week, and here is the youtube video version. Links: Find Francesco: ...",2023-05-30T07:39:53Z
